Country,total_confirmed,total_deaths,total_recovered,avg_daily_cases,max_daily_cases,num_records,Population,cases_per_million,deaths_per_million,high_risk
Djibouti,336216,3011,255143,1788.3829787234042,5059,188,,,,False
Haiti,333181,6663,87298,1772.2393617021276,7340,188,,,,False
Gabon,330678,2497,146671,1758.9255319148936,7189,188,,,,False
Croatia,299218,10372,213360,1591.5851063829787,4881,188,,,,False
West Bank and Gaza,233461,1370,61124,1241.813829787234,10621,188,,,,False
Kosovo,225972,5229,122234,1201.9787234042553,7413,188,,,,False
Iceland,221241,1141,190132,1176.813829787234,1854,188,,,,False
Mauritania,219095,6720,94938,1165.3989361702127,6208,188,,,,False
Estonia,216505,6826,137224,1151.622340425532,2034,188,,,,False
Cuba,216346,8145,170780,1150.776595744681,2532,188,,,,False
Madagascar,207296,1699,99424,1102.6382978723404,9690,188,,,,False
Somalia,206646,7006,59491,1099.1808510638298,3196,188,,,,False
Central African Republic,198659,2010,43318,1056.6968085106382,4599,188,,,,False
Albania,196702,5708,118877,1046.287234042553,4880,188,,,,False
Lithuania,188762,7019,120592,1004.0531914893617,2019,188,,,,False
Slovenia,186132,11326,109805,990.063829787234,2087,188,,,,False
Slovakia,176429,2692,121950,938.4521276595744,2181,188,,,,False
New Zealand,175979,2181,149560,936.0585106382979,1557,188,,,,False
Maldives,173602,705,106302,923.4148936170212,3369,188,,,,False
Sri Lanka,166865,1105,109389,887.5797872340426,2805,188,,,,False
Lebanon,166607,3520,82508,886.2074468085107,3882,188,,,,False
Paraguay,156373,1663,75800,831.7712765957447,4548,188,,,,False
Equatorial Guinea,153258,2246,35352,815.2021276595744,3071,188,,,,False
Mali,151494,8229,95287,805.8191489361702,2513,188,,,,False
Nicaragua,137545,4867,86849,731.6223404255319,3439,188,,,,False
Zambia,129421,2643,83611,688.4095744680851,4552,188,,,,False
Tunisia,126590,5250,85410,673.3510638297872,1455,188,,,,False
Guinea-Bissau,122994,1291,26036,654.2234042553191,1954,188,,,,False
South Sudan,118818,2006,23121,632.0106382978723,2305,188,,,,False
Latvia,118383,2458,74648,629.6968085106383,1219,188,,,,False
Cyprus,107176,1962,65254,570.0851063829788,1060,188,,,,False
Niger,102223,5948,79067,543.7393617021277,1136,188,,,,False
Congo (Brazzaville),101609,2696,29132,540.4734042553191,3200,188,,,,False
Burkina Faso,96153,5583,74876,511.45212765957444,1100,188,,,,False
Sierra Leone,95846,4186,58390,509.8191489361702,1783,188,,,,False
Uruguay,94742,2456,72759,503.9468085106383,1202,188,,,,False
Andorra,94404,5423,69074,502.1489361702128,907,188,,,,False
Jordan,93144,1041,68045,495.4468085106383,1223,188,,,,False
Malawi,89666,1640,26822,476.9468085106383,3664,188,,,,False
Georgia,85213,1266,60230,453.26063829787233,1137,188,,,,False
Cabo Verde,82732,854,38253,440.06382978723406,2328,188,,,,False
San Marino,74949,5086,41810,398.6648936170213,699,188,,,,False
Montenegro,72422,1379,31486,385.22340425531917,2893,188,,,,False
Rwanda,71242,169,36974,378.9468085106383,1879,188,,,,False
Malta,67483,765,53260,358.95212765957444,701,188,,,,False
Yemen,67180,17707,23779,357.3404255319149,1691,188,,,,False
Benin,64406,1095,25911,342.5851063829787,1770,188,,,,False
Chad,64226,5523,48059,341.6276595744681,922,188,,,,False
Eswatini,63160,763,30185,335.9574468085106,2316,188,,,,False
Libya,62321,1612,14199,331.49468085106383,2827,188,,,,False
Jamaica,61392,1005,36003,326.5531914893617,853,188,,,,False
Mozambique,58006,361,0,308.5425531914894,1701,188,,,,False
Uganda,56688,6,39767,301.531914893617,1128,188,,,,False
Taiwan*,55593,840,42184,295.7074468085106,462,188,,,,False
Liberia,51775,3341,23418,275.3989361702128,1167,188,,,,False
Zimbabwe,50794,881,12207,270.1808510638298,2704,188,,,,False
Tanzania,49327,1985,16729,262.3776595744681,509,188,,,,False
Togo,47390,1295,28330,252.0744680851064,874,188,,,,False
Sao Tome and Principe,46884,950,15882,249.38297872340425,865,188,,,,False
Vietnam,40675,0,32838,216.35638297872342,431,188,,,,False
Mauritius,39448,1161,32602,209.82978723404256,344,188,,,,False
Suriname,32247,721,17436,171.52659574468086,1483,188,,,,False
Namibia,28836,72,2152,153.38297872340425,1843,188,,,,False
Burma,25188,639,15476,133.9787234042553,350,188,,,,False
Angola,22662,1078,6573,120.54255319148936,950,188,,,,False
Syria,20946,973,0,111.41489361702128,674,188,,,,False
Guyana,19089,1346,8521,101.5372340425532,389,188,,,,False
Brunei,18168,226,15262,96.63829787234043,141,188,,,,False
Cambodia,17079,0,13917,90.84574468085107,226,188,,,,False
Mongolia,16999,0,9902,90.42021276595744,289,188,,,,False
Comoros,15823,337,11473,84.16489361702128,354,188,,,,False
Botswana,15306,120,2291,81.41489361702128,739,188,,,,False
